"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"spec/acceptance","test/search","","0","0","6","0","0"
"spec/acceptance","test/unix","","0","0","5","0","0"
"spec/acceptance","test/get_env","","0","0","6","0","0"
"spec/acceptance","test/cmd_exec","","0","0","6","0","0"
"spec/acceptance","test/meterpreter","","0","0","6","0","0"
"spec/acceptance","test/file","","2","0","4","0","0"
"spec/acceptance","compatibility","","0","0","6","0","0"
"spec/acceptance","test/extapi","","0","0","6","0","0"
"spec/acceptance","test/railgun","","0","0","4","0","0"
"spec/acceptance","test/railgun_reverse_lookups","","0","0","6","0","0"
"spec/acceptance","test/registry","","0","0","2","0","0"
"spec/acceptance","test/services","","0","0","2","0","0"
